emp_no,title,first_name,last_name,birth_date,from_date,to_date
10095,Senior Staff,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01
10122,Technique Leader,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01
10291,Senior Staff,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01
10476,Senior Staff,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01
10663,Technique Leader,Teunis,Noriega,1965-01-09,1993-01-23,1999-02-12
10663,Technique Leader,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01
10762,Senior Staff,Lech,Himler,1965-01-19,1992-01-21,9999-01-01
10933,Senior Engineer,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01
12155,Senior Engineer,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01
12408,Senior Engineer,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01
12643,Staff,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01
13499,Technique Leader,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01
14075,Engineer,Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01
14104,Senior Staff,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01
14127,Senior Engineer,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01
14158,Senior Staff,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01
14476,Engineer,Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01
14907,Senior Staff,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01
15050,Senior Engineer,Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01
15058,Senior Staff,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01
15413,Senior Engineer,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01
16461,Senior Staff,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01
16528,Engineer,Gaurav,Swick,1965-01-21,1996-05-07,9999-01-01
17013,Senior Staff,Morris,Garigliano,1965-01-15,1995-05-24,9999-01-01
17206,Senior Engineer,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01
17369,Senior Engineer,Yaghout,Kenevan,1965-01-31,1993-01-28,2000-09-15
17369,Senior Engineer,Yaghout,Kenevan,1965-01-31,2000-09-15,9999-01-01
17447,Staff,Zengping,Boreale,1965-01-11,1998-12-16,9999-01-01
17731,Engineer,Gennady,Roison,1965-01-16,1989-12-06,9999-01-01
17970,Technique Leader,Filipp,Carrere,1965-01-06,1989-01-09,9999-01-01
17988,Senior Engineer,Mabhin,Calkin,1965-01-31,1989-11-30,9999-01-01
18021,Senior Engineer,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01
18424,Senior Engineer,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01
18583,Staff,Stafford,Honglei,1965-01-03,1998-08-16,9999-01-01
18617,Senior Staff,Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01
18810,Senior Engineer,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01
19236,Senior Engineer,Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01
19350,Senior Staff,Satoru,Yoshizawa,1965-01-19,1994-03-27,9999-01-01
19803,Senior Engineer,Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01
20100,Senior Staff,Utz,Heuter,1965-01-18,1986-06-15,9999-01-01
20128,Senior Staff,Kazunori,Peak,1965-01-23,1999-08-13,9999-01-01
20129,Senior Engineer,Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01
20248,Staff,Vidar,Demri,1965-01-12,1999-12-31,9999-01-01
20313,Engineer,Candida,Benveniste,1965-01-24,1999-01-20,9999-01-01
20500,Senior Staff,Christoph,Trystram,1965-01-30,1993-10-15,9999-01-01
20885,Senior Engineer,Otmar,Rothenberg,1965-01-21,1989-03-14,9999-01-01
21181,Engineer,Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01
21188,Engineer,Piyush,Danecki,1965-01-21,2000-01-08,9999-01-01
21546,Senior Staff,Yongmin,Lanteri,1965-01-01,1988-02-16,2002-03-19
21546,Senior Staff,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01
21843,Senior Engineer,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01
21909,Senior Staff,Mohammed,Brizzi,1965-01-04,1991-12-28,9999-01-01
22185,Engineer,Huai,Birch,1965-01-29,1996-03-26,2002-06-12
22185,Engineer,Huai,Birch,1965-01-29,2002-06-12,9999-01-01
22415,Senior Staff,Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01
22451,Senior Staff,Jasminko,Bresenham,1965-01-27,1987-12-16,1994-01-19
22451,Senior Staff,Jasminko,Bresenham,1965-01-27,1994-01-19,9999-01-01
22455,Senior Staff,Barry,Unno,1965-01-06,1990-11-16,9999-01-01
