"emp_no","first_name","last_name","birth_date","title","from_date","to_date"
10001,"Georgi","Facello","1953-09-02","Senior Engineer","1986-06-26","9999-01-01"
10004,"Chirstian","Koblick","1954-05-01","Engineer","1986-12-01","1995-12-01"
10004,"Chirstian","Koblick","1954-05-01","Senior Engineer","1995-12-01","9999-01-01"
10005,"Kyoichi","Maliniak","1955-01-21","Senior Staff","1996-09-12","9999-01-01"
10005,"Kyoichi","Maliniak","1955-01-21","Staff","1989-09-12","1996-09-12"
10006,"Anneke","Preusig","1953-04-20","Senior Engineer","1990-08-05","9999-01-01"
10009,"Sumant","Peac","1952-04-19","Assistant Engineer","1985-02-18","1990-02-18"
10009,"Sumant","Peac","1952-04-19","Engineer","1990-02-18","1995-02-18"
10009,"Sumant","Peac","1952-04-19","Senior Engineer","1995-02-18","9999-01-01"
10011,"Mary","Sluis","1953-11-07","Staff","1990-01-22","1996-11-09"
